poi_key,name_en,region,tour_count,dimension_count,status
camellia_hill,Camellia Hill (year-round signature flower garden),jeju,3,262,OK
bukchon_hanok_village,Bukchon Hanok Village + Insadong,seoul,2,85,OK
ahopsan_bamboo_forest,Ahopsan Bamboo Forest (아홉산숲),busan,2,142,OK
biff_square,BIFF Square,busan,1,53,OK
gamcheon_culture_village,Gamcheon Culture Village,busan,5,133,OK
gukje_market,Gukje Market,busan,1,53,OK
songdo_beach,Songdo Beach,busan,1,53,OK
yongdusan_park,Gamcheon Culture Village,busan,3,125,OK
insadong,Insadong cultural street,seoul,2,85,OK
gyeongbokgung_palace,Gyeongbokgung Palace + Royal Guard ceremony,seoul,2,85,OK
taejongdae,East coast highlights option,busan,2,119,OK
gyochon_hanok_village,Gyochon Hanok Village,gyeongju,2,142,OK
jeonnong_ro_cherry_blossom_street,Jeonnong-ro Cherry Blossom Street,jeju,1,186,OK
ilchulland_themed_gardens,Ilchul Land Themed Gardens,jeju,1,186,OK
gwangjang_market,Lunch at Gwangjang Market,seoul,1,69,OK
hallasan_eoseungsaengak,Hallasan Eoseungsaengak,jeju,3,185,OK
hamdeok_seoubong_beach,Hamdeok Seoubong Beach,jeju,2,178,OK
jeju_haenyeo_museum,Haenyeo Museum (women divers),jeju,1,127,OK
un_memorial_cemetery,UN Memorial Cemetery in Korea,busan,4,130,OK
myeongdong,Myeongdong OR Jogyesa Temple (your choice),seoul,1,72,OK
woljeonggyo_bridge,Woljeonggyo Bridge,gyeongju,2,142,OK
cheongsapo_blue_line_park,Cheongsapo & Haeundae Blue Line Park,busan,1,60,OK
daepo_jusangjeolli_cliff,Daepo Jusangjeolli Cliff,jeju,6,346,OK
haedong_yonggungsa,Haedong Yonggungsa Temple,busan,2,60,OK
hueree_natural_park,Hueree Natural Park — Hydrangea highlight,jeju,1,96,OK
hyeopjae_beach,Hyeopjae Beach + west-coast café strip,jeju,4,237,OK
herb_island,Pocheon Herb Island,gyeonggi,1,69,OK
osulloc_tea_museum,O'Sulloc Tea Museum,jeju,5,258,OK
jeju_tangerine_picking_experience,Tangerine (Gyul) Picking Experience — Winter Hallabong Peak,jeju,1,117,OK
imjingak_peace_park,Imjingak Peace Park,gyeonggi,1,66,OK
